임대종류,주소,단지명,세대수,주택유형,임대사업자,형(Type),공급면적(전용),공급면적(공용),임대보증금,임대료,전환보증금
행복주택,서울특별시 구로구 천왕로 21,천왕이펜하우스 7,374.0,아파트,SH공사,29,29.96,16.75,46400000,213000,0
행복주택,서울특별시 구로구 천왕로 21,천왕이펜하우스 7,374.0,아파트,SH공사,29S,29.96,16.75,42400000,212000,0
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,16,16.77,9.47,29800000,116000,11000000
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,17,17.2,9.72,30520000,119000,11000000
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,19,19.38,10.95,35830000,140000,16000000
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,26,26.1,14.75,45610000,178000,21000000
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,29,29.38,16.60,54070000,211000,25000000
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,36,36.48,20.61,70040000,274000,32000000
행복주택,서울특별시 노원구 공릉로51길 20,서울공릉행복주택,100.0,아파트,LH서울,40,40.32,22.78,76920000,301000,36000000
행복주택,서울특별시 서초구 청계산로9길 1-3,내곡보금자리주택지구 도시형생활주택(임대),87.0,아파트,SH공사,19-S,19.85,11.56,46360000,236000,0
행복주택,서울특별시 서초구 청계산로9길 1-3,내곡보금자리주택지구 도시형생활주택(임대),87.0,아파트,SH공사,20,20.52,12.28,45720000,171000,0
행복주택,서울특별시 서초구 청계산로9길 1-3,내곡보금자리주택지구 도시형생활주택(임대),87.0,아파트,SH공사,21A-S,21.13,11.72,46360000,236000,0
행복주택,서울특별시 서초구 청계산로9길 1-3,내곡보금자리주택지구 도시형생활주택(임대),87.0,아파트,SH공사,21B,21.58,12.84,48240000,181000,0
행복주택,서울특별시 서초구 청계산로9길 1-3,내곡보금자리주택지구 도시형생활주택(임대),87.0,아파트,SH공사,21B-S,21.58,12.84,46360000,236000,0
행복주택,서울특별시 서초구 청계산로9길 1-3,내곡보금자리주택지구 도시형생활주택(임대),87.0,아파트,SH공사,29,29.26,17.01,61400000,298000,0
행복주택,서울특별시 구로구 경인로20가길 68,서울오류 행복주택,890.0,아파트,LH서울,16,16.84,9.06,37260000,124200,12000000
행복주택,서울특별시 구로구 경인로20가길 68,서울오류 행복주택,890.0,아파트,LH서울,29,29.76,16.02,64160000,213860,25000000
행복주택,서울특별시 구로구 경인로20가길 68,서울오류 행복주택,890.0,아파트,LH서울,36,36.85,19.83,78400000,261330,31000000
행복주택,서울특별시 구로구 경인로20가길 68,서울오류 행복주택,890.0,아파트,LH서울,44,44.83,24.13,94110000,313700,37000000
행복주택,서울특별시 구로구 고척로52나길 25,고척동 156,28.0,아파트,SH공사,45,45.09,26.55,0,0,0
행복주택,서울특별시 구로구 금오로 882,천왕지구 8단지(임대),298.0,아파트,SH공사,29A,29.38,18.51,38080000,130000,0
행복주택,서울특별시 구로구 금오로 882,천왕지구 8단지(임대),298.0,아파트,SH공사,29A-S,29.38,18.51,38080000,130000,0
행복주택,서울특별시 구로구 금오로 882,천왕지구 8단지(임대),298.0,아파트,SH공사,36A,36.87,23.23,56000000,191000,0
행복주택,서울특별시 구로구 금오로 882,천왕지구 8단지(임대),298.0,아파트,SH공사,36A-S,36.87,23.23,53200000,182000,0
행복주택,서울특별시 구로구 금오로 882,천왕지구 8단지(임대),298.0,아파트,SH공사,45A,45.77,28.84,69600000,238000,0
행복주택,서울특별시 구로구 금오로 882,천왕지구 8단지(임대),298.0,아파트,SH공사,45A-S,45.77,28.84,66120000,226000,0
행복주택,서울특별시 서초구 서초중앙로 220,반포래미안아이파크(서초한양),116.0,아파트,SH공사,49,49.84,27.43,140950000,505000,0
행복주택,서울특별시 서초구 서초중앙로 220,반포래미안아이파크(서초한양),116.0,아파트,SH공사,59A,59.95,33.12,169530000,607000,0
행복주택,서울특별시 서초구 서초중앙로 220,반포래미안아이파크(서초한양),116.0,아파트,SH공사,59B,59.97,33.01,169530000,607000,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,39A,39.1,22.27,84314000,295100,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,39B,39.12,22.41,99200000,347200,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,39C,39.86,22.6,94229000,329800,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,39D,39.17,22.27,99200000,347200,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,49A,49.19,23.28,124800000,436800,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,49B,49.32,23.3,124800000,436800,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,49C,49.29,23.62,124800000,436800,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,49D,49.21,23.31,124800000,436800,0
행복주택,서울특별시 송파구 송파대로 345,송파헬리오시티(가락시영),1401.0,아파트,SH공사,59A,59.96,24.14,152114000,532400,0
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,16,16.19,14.65,33080000,110260,8000000
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,16,16.32,14.76,32760000,109200,8000000
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,16,16.42,14.86,33080000,110260,8000000
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,16,16.55,14.97,33080000,110260,8000000
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,29,29.66,26.84,61200000,204000,23000000
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,29,29.98,27.13,61200000,204000,23000000
행복주택,서울특별시 마포구 성암로 28,서울가좌 행복주택,362.0,아파트,LH서울,36,36.39,32.93,72800000,242660,29000000
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,20A,20.57,12.43,31320000,149000,0
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,20AS,20.57,12.43,31160000,156000,0
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,20B,20.61,11.99,31320000,149000,0
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,32A,32.31,18.54,40200000,201000,0
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,32B,32.64,18.7,51120000,243000,0
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,32BS,32.64,18.7,50920000,255000,0
행복주택,서울특별시 구로구 오류로 36-13,천왕2지구 도시형생활주택(1),181.0,아파트,SH공사,35A,35.21,20.03,58000000,290000,0
행복주택,서울특별시 구로구 항동로 60,항동 하버라인 10단지(임대),297.0,아파트,SH공사,29A,29.69,17.09,39960000,137000,0
행복주택,서울특별시 구로구 항동로 60,항동 하버라인 10단지(임대),297.0,아파트,SH공사,29AS,29.69,17.09,39960000,137000,0
행복주택,서울특별시 구로구 항동로 60,항동 하버라인 10단지(임대),297.0,아파트,SH공사,39A,39.69,22.24,51120000,175000,0
행복주택,서울특별시 구로구 항동로 60,항동 하버라인 10단지(임대),297.0,아파트,SH공사,39AS,39.69,22.24,53960000,185000,0
